,gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,TotalCharges,Churn,Geography,CreditScore,Surname,EstimatedSalary,MonthlyCharges,customerID,Dependents,PaymentMethod,Charge
0,Female,0.0,Yes,72.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,7679.65,No,Germany,602.0,Klein,45038.29,108.3,6519-ZHPXP,Yes,Bank transfer (automatic),108.3
1,Male,0.0,Yes,30.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,1441.95,No,Germany,776.0,Lung,89893.6,49.9,1958-RNRKS,No,Electronic check,49.9
2,Male,0.0,Yes,49.0,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,1838.15,No,Germany,709.0,Lucciano,11.58,39.2,7989-AWGEH,Yes,Electronic check,39.2
3,Female,1.0,Yes,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,1752.65,No,France,788.0,O'Brien,116978.19,69.5,6575-SUVOI,No,Credit card (automatic),69.5
4,Female,1.0,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,8333.95,No,Germany,733.0,Medvedeva,177994.81,114.65,1779-PWPMG,No,Bank transfer (automatic),114.65
5,Male,0.0,Yes,58.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,4230.25,No,France,479.0,Wei,95270.83,71.6,7162-WPHPM,Yes,Credit card (automatic),71.6
6,Female,0.0,Yes,57.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,3053,No,Spain,627.0,Mazure,146680.25,53.45,2550-AEVRU,Yes,Electronic check,53.45
7,Male,0.0,Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,7405.5,No,Spain,516.0,He,146145.93,105.55,3363-DTIVD,Yes,Electronic check,105.55
8,Female,0.0,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,6786.1,No,France,623.0,Yuan,84421.34,92.4,2167-FQSTQ,No,Electronic check,92.4
9,Female,0.0,Yes,53.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,1039.45,No,Germany,624.0,Bledsoe,30020.09,19.85,5642-MHDQT,Yes,Bank transfer (automatic),19.85
10,Female,0.0,No,6.0,Yes,,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,514.6,No,France,850.0,Hartung,180622.02,,8132-YPVBX,No,Mailed check,85.95
11,Female,0.0,No,43.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,1070.15,No,Spain,552.0,Gilbert,195692.3,25.1,0057-QBUQH,Yes,Electronic check,25.1
12,Female,0.0,Yes,64.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,3147.5,Yes,Germany,481.0,Jamieson,96123.72,47.85,0617-AQNWT,No,Electronic check,47.85
13,Male,0.0,No,18.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,1451.9,Yes,France,510.0,Swift,44374.44,80.65,8854-CCVSQ,No,Electronic check,80.65
14,Male,0.0,No,14.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,299.3,No,France,747.0,Cameron,57817.84,20.05,8317-BVKSO,No,Electronic check,20.05
15,Male,0.0,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,7767.25,No,Germany,623.0,Nyhan,645.61,108.4,1320-GVNHT,Yes,Credit card (automatic),108.4
16,Female,1.0,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,609.65,No,Spain,739.0,Sleeman,12796.43,84.35,2123-AGEEN,No,Electronic check,84.35
17,Male,1.0,No,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,560.85,Yes,Germany,553.0,Trentini,160574.09,69.7,3999-QGRJH,No,Electronic check,69.7
18,Female,0.0,Yes,57.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,1272.05,No,France,543.0,Onio,85983.54,19.75,1399-OUPJN,Yes,Bank transfer (automatic),19.75
19,Female,0.0,No,5.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,283.95,No,Germany,622.0,Brooks,81723.8,53.8,7129-ACFOG,No,Electronic check,53.8
20,Male,0.0,No,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,553.4,No,Germany,578.0,Douglas,66680.77,70.7,7967-HYCDE,No,Bank transfer (automatic),70.7
21,Male,0.0,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,52.05,No,Germany,604.0,Hsing,134875.37,21.2,8909-BOLNL,No,Mailed check,21.2
22,Male,0.0,Yes,43.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,3566.6,No,France,841.0,Shaw,122662.98,79.15,5318-YKDPV,Yes,Credit card (automatic),79.15
23,Male,0.0,No,1.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,24.2,No,France,539.0,Adams,167289.82,24.2,5351-QESIO,Yes,Mailed check,24.2
24,Female,0.0,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,820.5,Yes,Spain,645.0,Chu,149756.71,99.65,9305-CDSKC,No,Electronic check,99.65
25,Female,0.0,Yes,67.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,6341.45,Yes,Germany,546.0,Chibueze,128881.87,94.35,3351-NQLDI,Yes,Credit card (automatic),94.35
26,Male,0.0,Yes,32.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,2619.15,No,Germany,606.0,Ferguson,53784.22,79.25,1422-DGUBX,No,Electronic check,79.25
27,Male,1.0,Yes,71.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,1388.45,No,Spain,599.0,Napolitani,130086.47,19.8,3996-ZNWYK,Yes,Credit card (automatic),19.8
28,Male,0.0,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.25,Yes,France,757.0,Christie,137136.29,20.25,4211-MMAZN,No,Mailed check,20.25
29,Female,0.0,Yes,8.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,160.05,No,Germany,602.0,Chung,113781.99,19.8,1226-JZNKR,Yes,Electronic check,19.8
30,Female,1.0,No,8.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,729.95,Yes,Spain,830.0,Genovese,81622.52,92.1,4145-UQXUQ,No,Electronic check,92.1
31,Female,0.0,Yes,54.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,5645.8,No,France,745.0,Lombardi,130789.6,104.1,6353-BRMMA,Yes,Bank transfer (automatic),104.1
32,Male,1.0,Yes,72.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,5396.25,No,Spain,597.0,Williamson,70532.53,77.35,5329-KRDTM,No,Credit card (automatic),77.35
33,Female,1.0,Yes,50.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,5431.9,No,Germany,706.0,McDonald,171037.63,108.75,2144-BFDSO,No,Bank transfer (automatic),108.75
34,Male,0.0,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,294.9,No,France,655.0,Ives,126565.21,19.75,8573-CGOCC,No,Credit card (automatic),19.75
35,Male,0.0,Yes,14.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,664.4,No,Germany,555.0,Hsia,43507.1,48.8,9097-ZUBYC,No,Bank transfer (automatic),48.8
36,Female,0.0,No,57.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,4884.85,No,Spain,546.0,Loggia,86945.0,87.55,5240-CAOYT,No,Bank transfer (automatic),87.55
37,Female,0.0,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,6052.25,No,Germany,649.0,Omeokachie,143544.48,84.05,2904-GGUAZ,No,Bank transfer (automatic),84.05
38,Male,1.0,No,16.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,1281,Yes,France,710.0,Bennett,192928.82,86.6,3372-KWFBM,No,Electronic check,86.6
39,,0.0,No,12.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,1059.55,Yes,France,532.0,Aksenov,177099.71,84.45,7613-LLQFO,No,Electronic check,84.45
40,Male,0.0,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,7878.3,No,Germany,725.0,Tsao,124052.97,109.2,6614-FHDBO,No,Bank transfer (automatic),109.2
41,Male,1.0,Yes,57.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,5427.05,Yes,France,609.0,Chidozie,181177.9,95.25,3207-OYBWH,No,Bank transfer (automatic),95.25
42,Female,0.0,Yes,28.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,543,No,France,465.0,Yudin,78698.09,19.9,2819-GWENI,Yes,Mailed check,19.9
43,Male,0.0,No,44.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,4063,No,Spain,709.0,Whitehead,162922.65,90.4,8782-LKFPK,No,Mailed check,90.4
44,Male,0.0,No,22.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,2095,Yes,Germany,778.0,Solomon,181221.09,100.75,5590-BYNII,No,Electronic check,100.75
45,Female,0.0,No,42.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,844.45,No,France,584.0,Ayers,176678.72,20.75,5542-NKVRU,No,Bank transfer (automatic),20.75
46,Female,1.0,Yes,24.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,2263.45,No,Germany,525.0,O'Donnell,55072.93,96.55,7826-VVKWT,Yes,Electronic check,96.55
47,Male,0.0,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,8309.55,No,France,773.0,Mitchell,1118.31,116.3,0186-CAERR,No,Bank transfer (automatic),116.3
48,Male,0.0,Yes,16.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,1189.4,No,France,555.0,Yeates,189122.89,75.4,4301-VVZKA,No,Electronic check,75.4
49,Female,0.0,Yes,18.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,1745.5,No,France,548.0,Azubuike,177017.39,95.95,4647-MUZON,No,Credit card (automatic),95.95
50,Male,0.0,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,5810.9,No,Spain,655.0,Lo,81054.0,79.55,2251-PYLPB,No,Credit card (automatic),79.55
51,Male,,Yes,52.0,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,2020.9,No,Germany,533.0,Shih,12537.42,39.9,4132-POCZS,No,Electronic check,39.9
52,Female,1.0,No,42.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,2421.75,No,France,592.0,Shih,19645.65,,8495-PRWFH,No,Electronic check,55.65
53,Male,0.0,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,267,No,Germany,756.0,Palermo,93302.29,20.05,5993-BQHEA,No,Credit card (automatic),20.05
54,Female,0.0,Yes,68.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,5515.8,No,Germany,565.0,Otutodilinna,118740.37,79.6,9140-CZQZZ,No,Bank transfer (automatic),79.6
55,Female,0.0,Yes,34.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,2042.05,No,France,596.0,Rozhkova,12067.39,60.8,4086-ATNFV,Yes,Mailed check,60.8
56,Female,0.0,No,47.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,3496.3,No,Germany,500.0,Nwebube,196261.64,74.05,3557-HTYWR,No,Mailed check,74.05
57,Female,0.0,No,30.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,2983.8,Yes,Germany,620.0,Alleyne,49722.34,100.2,4817-VYYWS,No,Electronic check,100.2
58,Female,0.0,No,70.0,Yes,No,DSL,Yes,No,Yes,,Yes,Yes,Two year,No,5589.45,No,Germany,623.0,Greco,104079.62,79.6,7560-QJAVJ,No,Bank transfer (automatic),79.6
59,Female,0.0,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,70.15,Yes,France,817.0,Brown,80985.88,70.15,2619-WFQWU,No,Mailed check,70.15
60,Male,0.0,Yes,9.0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,564.4,No,France,774.0,Muir,28415.36,70.05,1304-BCCFO,No,Mailed check,70.05
61,Male,0.0,Yes,26.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,2034.25,No,Germany,666.0,Shen,99818.31,78.95,9138-EFSMO,Yes,Bank transfer (automatic),78.95
62,Male,0.0,No,2.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,56.35,Yes,Germany,702.0,Cohn,40321.87,25.05,0746-JTRFU,No,Electronic check,25.05
63,Male,1.0,No,21.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,429.55,No,France,733.0,Tu,197193.49,20.5,8746-BFOAJ,No,Bank transfer (automatic),20.5
64,Female,0.0,Yes,49.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,3902.45,No,Germany,,Ch'ang,2746.41,79.3,6898-RBTLU,Yes,Bank transfer (automatic),79.3
65,Female,0.0,Yes,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,252.75,No,France,607.0,Zhdanova,187048.72,20.55,9512-PHSMG,No,Mailed check,20.55
66,Female,0.0,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20,No,France,683.0,Padovano,37976.36,20.0,3807-XHCJH,Yes,Electronic check,20.0
67,Male,1.0,No,55.0,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,2479.05,No,Germany,809.0,Trevisano,165675.01,44.85,9591-YVTEB,No,Electronic check,44.85
68,Male,0.0,Yes,68.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,6392.85,,Germany,713.0,Fraser,87308.18,92.2,1568-LJSZU,Yes,Credit card (automatic),92.2
69,Female,0.0,Yes,17.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,920.5,No,France,514.0,Chizuoke,60375.18,55.35,5084-OOVCJ,Yes,Credit card (automatic),55.35
70,Male,0.0,No,22.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,2162.6,No,Spain,665.0,Ch'in,156774.94,95.1,5382-SOYZL,No,Electronic check,95.1
71,Male,1.0,No,32.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,3019.25,Yes,Germany,713.0,Muravyova,123663.63,96.15,5959-BELXA,No,Credit card (automatic),96.15
72,Female,0.0,Yes,60.0,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,3069.45,No,Spain,611.0,Fanucci,181419.29,49.75,3999-WRNGR,Yes,Electronic check,49.75
